Reynolds Number:,Local Friction Coeff
487716.73089926946,0.00014397825064041138
216974.5708598499,0.0004962933903965082
318730.7509475717,0.00018577470958893027
111305.60632758614,0.0015422228560550996
461616.4355817146,0.00010617013473870036
549809.1370637802,0.00010910560157755498
477447.86018905684,9.152333939585528e-05
233476.60953463192,0.00017843701044211095
211187.53940473316,0.00044633921079113246
507631.66804189136,0.00010907187099531542
322594.2950512195,0.0003079607650949571
416467.4441049651,6.0896060415290834e-05
